,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
Jen A. Kiggans,Female,white,,,Other,"""abortion laws should be determined at the state level""",Mary,6/7/24,Yes,No,Virginia,6/18/24,Representative,2,H2VA02064,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,Yes,N/A,Yes,N/A,N/A,Yes,Yes,Yes,
"John Sitka, III",Male,,,,,,,,No,No,Virginia,6/18/24,Representative,3,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"William J. ""Bill"" Moher III",Male,,,,,,,,No,No,Virginia,6/18/24,Representative,4,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Robert G. ""Bob"" Good",Male,white,,,Pro-Life,,Mary,6/7/24,Yes,No,Virginia,6/18/24,Representative,5,H0VA05160,31209,49.70%,Lost,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John J. McGuire III,Male,white,,,Pro-Life,,Mary,6/7/24,No,Yes,Virginia,6/18/24,Representative,5,,31583,50.30%,Won,N/A,N/A,N/A,Yes,5/28/24,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ben L. Cline,Male,white,,,Pro-Life,,Mary,6/7/24,Yes,No,Virginia,6/18/24,Representative,6,H8VA06104,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Derrick M. Anderson,Male,white,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Mary,6/7/24,No,No,Virginia,6/18/24,Representative,7,,16338,45.17%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cameron D. Hamilton,Male,white,,,Pro-Life,,Mary,6/7/24,No,No,Virginia,6/18/24,Representative,7,,13448,37.18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maria E. Martin,Female,white,,,Pro-Life,,Mary,6/7/24,No,No,Virginia,6/18/24,Representative,7,,625,1.73%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jon P. Myers,Male,white,,,Pro-Life,supports exceptions,Mary,6/7/24,No,No,Virginia,6/18/24,Representative,7,,4660,12.88%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Prabhudoss,Male,asian (indian),,,No mention,"Has issues on site, no mention of abortion or in about",Mary,6/7/24,No,No,Virginia,6/18/24,Representative,7,,729,2.02%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Terris E. Todd,Male,black,,,No mention,"Has issues on site, no mention of abortion or in about",Mary,6/7/24,No,No,Virginia,6/18/24,Representative,7,,373,1.03%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jerry W. Torres,Male,hispanic,,,N/A,website down,Mary,6/7/24,No,No,Virginia,6/18/24,Representative,8,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
H. Morgan Griffith,Male,white,,,Pro-Life,"""right to life""",Mary,6/7/24,Yes,No,Virginia,6/18/24,Representative,9,H0VA09055,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Manga A. Anantatmula,Female,asian (indian),,,Pro-Life,,Mary,6/7/24,No,No,Virginia,6/18/24,Representative,10,,1327,4.89%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Aliscia N. Andrews,Female,white,,,No mention,"Has issues on site, no mention of abortion or in about",Mary,6/7/24,No,No,Virginia,6/18/24,Representative,10,,5832,21.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike W. Clancy,Male,white,,,Pro-Life,,Mary,6/7/24,No,No,Virginia,6/18/24,Representative,10,,17434,64.24%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alex H. Isaac Jr.,Male,middle eastern (iraqi and palestinian),,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Mary,6/7/24,No,No,Virginia,6/18/24,Representative,10,,2544,9.37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike L. Van Meter,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Mary,6/7/24,No,No,Virginia,6/18/24,Representative,11,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hung Cao,Male,asian (vietnamese),,,Pro-Life,,Mary,6/7/24,No,No,Virginia,6/18/24,Senator,N/A,,168868,61.79%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jonathan W. Emord,Male,white,,,Pro-Life,"""sanctity of life""",Mary,6/7/24,No,No,Virginia,6/18/24,Senator,N/A,,23614,8.64%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Edward C. ""Eddie"" Garcia Jr.",Male,white,,,Pro-Life,,Mary,6/7/24,No,No,Virginia,6/18/24,Senator,N/A,,26777,9.80%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Thomas Parkinson,Male,white,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Mary,6/7/24,No,No,Virginia,6/18/24,Senator,N/A,,29940,10.95%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"C. L. ""Chuck"" Smith, Jr.",Male,black,,,Pro-Life,“Protect life from conception until natural death.”,Mary,6/7/24,No,No,Virginia,6/18/24,Senator,N/A,,24108,8.82%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Valdamar Archuleta,Male,hispanic,,,No mention,has issues,Meredith,6/18/24,No,No,Colorado,6/25/24,Representative,1,,11421,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gay; president of log cabin republicans colorado
Marshall Dawson,Male,white,,,No mention,no issues or about page,Meredith,6/18/24,No,No,Colorado,6/25/24,Representative,2,,30825,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Russ Andrews,Male,white,,,No mention,"has issues and about, but no mention ",Meredith,6/18/24,No,No,Colorado,6/25/24,Representative,3,,5304,5.99%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Ron Hanks,Male,white,,,Pro-Life,,Meredith,6/18/24,No,No,Colorado,6/25/24,Representative,3,,25211,28.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Jeff Hurd,Male,white,,,No mention,"has issues and about, but no mention ",Meredith,6/18/24,No,No,Colorado,6/25/24,Representative,3,,36505,41.24%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,
Curtis M. McCrackin,Male,white,,,Other,"In issues, while discussing 1st Amendment: ""The freedom to reject ideas such as climate change, abortion access, gun control, participation of transgender men in women's sports, or to disagree with mutilating the sexual organs of teenagers has been labeled as hate speech.""",Meredith,6/18/24,No,No,Colorado,6/25/24,Representative,3,,5772,6.52%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Stephen A. Varela,Male,hispanic,,,Pro-Life,,Meredith,6/18/24,No,No,Colorado,6/25/24,Representative,3,,8638,9.76%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Lew Webb,Male,white,,,No mention,"has issues and about, but no mention ",Meredith,6/18/24,No,No,Colorado,6/25/24,Representative,3,,7094,8.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Lauren Boebert,Female,white,,,Pro-Life,mentions her SBA Pro-Life marks on the about,Meredith,6/18/24,Yes,No,Colorado,6/25/24,Representative,4,H0CO03165,54605,43.66%,Won,N/A,N/A,N/A,Yes,3/2/24,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A,
Deborah Flora,Female,white,,,Pro-Life,,Meredith,6/18/24,No,Yes,Colorado,6/25/24,Representative,4,,17069,13.65%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,
Richard Holtorf,Male,white,,,No mention,no issues,Meredith,6/18/24,No,Yes,Colorado,6/25/24,Representative,4,,13387,10.70%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Mike Lynch,Male,white,,,No mention,"has issues and about, but no mention ",Meredith,6/18/24,No,Yes,Colorado,6/25/24,Representative,4,,13357,10.68%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Jerry Sonnenberg,Male,white,,,Pro-Life,,Meredith,6/18/24,No,Yes,Colorado,6/25/24,Representative,4,,17791,14.23%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Peter Yu,Male,asian (chinese),,,No mention,has issues,Meredith,6/18/24,No,Yes,Colorado,6/25/24,Representative,4,,8854,7.08%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Jeff Crank,Male,white,,,Pro-Life,"""proud pro-life advocate""",Meredith,6/19/24,No,No,Colorado,6/25/24,Representative,5,,56585,65.16%,Won,N/A,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Dave Williams,Male,white,,,Pro-Life,,Meredith,6/19/24,No,No,Colorado,6/25/24,Representative,5,,30257,34.84%,Lost,N/A,N/A,N/A,Yes,3/12/24,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
John E. Fabbricatore,Male,white,,,No mention,no issues,Meredith,6/19/24,No,No,Colorado,6/25/24,Representative,6,,30895,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sergei Matveyuk,Male,white (polish),,,No mention,"has issues and about, but no mention ",Meredith,6/19/24,No,No,Colorado,6/25/24,Representative,7,,46154,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gabe Evans,Male,hispanic (mexican),,,Other,"""I am pro-life, believe abortion stops a beating heart, and oppose taxpayer funded abortion. Since the US Supreme Court has returned this issue to the states, I will not vote for a national abortion ban.""",Meredith,6/19/24,No,No,Colorado,6/25/24,Representative,8,,35393,77.47%,Won,N/A,N/A,N/A,Yes,6/3/24,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Janak Joshi,Male,asian (indian),,,Pro-Life,,Meredith,6/19/24,No,No,Colorado,6/25/24,Representative,8,,10294,22.53%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nicholas J. LaLota,Male,white,,,Other,"""My stance on abortion is much like that of former President Clinton: I do not oppose it in the first trimester or in cases of rape, incest, or when the mother's life is at risk.""",Mary,6/20/24,Yes,No,New York,6/25/24,Representative,1,H2NY01190,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Andrew R. Garbarino,Male,white,,,No mention,,Mary,6/20/24,Yes,No,New York,6/25/24,Representative,2,H0NY02234,1,100.00%,Won,N/A,N/A,N/A,Yes,6/13/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Michael J. LiPetri Jr.,Male,white,,,Other,"""I do not support a national abortion ban – period. Don’t believe the lies you will hear. What I am wholeheartedly against are abortions in the third trimester only. Surveys show 80% of Americans agree with me on this stance.""",Mary,6/20/24,No,No,New York,6/25/24,Representative,3,,1,100.00%,Won,N/A,N/A,N/A,Yes,6/15/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anthony P. D'Esposito,Male,white (italian),,,No mention,"lists issues, no mention of abortion",Mary,6/20/24,Yes,No,New York,6/25/24,Representative,4,H2NY04277,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Paul King,Male,white,,,No mention,"lists issues (""plans""), no mention of abortion",Mary,6/20/24,No,No,New York,6/25/24,Representative,5,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Thomas Zmich,Male,White,,,N/A,no website,Mary,6/20/24,No,No,New York,6/25/24,Representative,6,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
William Kregler,Male,white,,,No mention,,Mary,6/20/24,No,No,New York,6/25/24,Representative,7,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Delaney,Male,,,,N/A,no website,Mary,6/20/24,No,No,New York,6/25/24,Representative,8,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Menachem M. Raitport,Male,white (orthodox jewish),,,N/A,no working website,Mary,6/20/24,No,No,New York,6/25/24,Representative,9,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alexander Dodenhoff,Male,,,,N/A,no website,Mary,6/20/24,No,No,New York,6/25/24,Representative,10,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nicole Malliotakis,Female,white (greek),hispanic (cuban),,No mention,"lists issues, no mention of abortion terms",Mary,6/20/24,Yes,No,New York,6/25/24,Representative,11,H0NY11078,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,
Mike Zumbluskas,Male,,,,No mention,"lists issues, no mention of abortion terms",Mary,6/20/24,No,No,New York,6/25/24,Representative,12,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ruben D. Vargas,Male,Hispanic,,,N/A,"no current website, found an old one that fails to load",Mary,6/20/24,No,No,New York,6/25/24,Representative,13,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tina Forte,Female,white,,,No mention,"lists issues, no mention of abortion terms",Mary,6/20/24,No,No,New York,6/25/24,Representative,14,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gonzalo Duran,Male,Unknown,,,No mention,"has list of ""platforms,"" no mention of abortion terms",Mary,6/20/24,No,No,New York,6/25/24,Representative,15,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Miriam Levitt Flisser,Female,white,,,No mention,"no separate about or issues page, issues on home page do not include abortion terms",Mary,6/20/24,No,No,New York,6/25/24,Representative,16,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Lawler,Male,white,,,Other,"supports exceptions, opposes federal ban",Mary,6/20/24,Yes,No,New York,6/25/24,Representative,17,H2NY17162,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Alison Esposito,Female,white,,,Other,"supports exceptions, opposes federal ban",Mary,6/20/24,No,No,New York,6/25/24,Representative,18,,1,100.00%,Won,N/A,N/A,N/A,Yes,6/15/24,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,
Marcus Molinaro,Male,white,,,No mention,"lists issues, no mention of abortion terms",Mary,6/20/24,Yes,No,New York,6/25/24,Representative,19,H2NY19127,1,100.00%,Won,N/A,N/A,N/A,Yes,6/13/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Kevin M. Waltz,Male,white,,,No mention,no issues page,Mary,6/20/24,No,No,New York,6/25/24,Representative,20,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Elise M. Stefanik,Female,white,,,Other,"""She is a well-respected national policy leader on issues ranging from ... life ..."" but she doesn't say pro-life. On her endorsements page (which we're technically not considering for this), she does list Susan B. Anthony List",Mary,6/20/24,Yes,No,New York,6/25/24,Representative,21,H4NY21079,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,
Brandon M. Williams,Male,white,,,Pro-Life,,Mary,6/20/24,Yes,No,New York,6/25/24,Representative,22,H2NY22212,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Nicholas A. Langworthy,Male,white,,,Pro-Life,"""protect the lives of unborn children""",Mary,6/20/24,Yes,No,New York,6/25/24,Representative,23,H2NY23228,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Claudia Tenney,Female,white,,,No mention,"lists issues, no mention of abortion terms. Her accomplishments page (which we aren't considering) does mention pro-life and Susan B. Anthony List",Mary,6/20/24,Yes,No,New York,6/25/24,Representative,24,H4NY22051,19485,60.20%,Won,N/A,N/A,N/A,Yes,3/27/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,
Mario Fratto,Male,white (italian),,,Pro-Life,"""Mario will fight to protect the lives of unborn children""",Mary,6/20/24,No,Yes,New York,6/25/24,Representative,24,,12233,37.79%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,
Gregg A. Sadwick,Male,white,,,Other,pro-choice,Mary,6/20/24,No,No,New York,6/25/24,Representative,25,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anthony G. Marecki,Male,white,,,N/A,no website,Mary,6/20/24,No,No,New York,6/25/24,Representative,26,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael D. Sapraicone,Male,white,,,No mention,"lists issues, no mention of abortion terms",Mary,6/20/24,No,No,New York,6/25/24,Senator,N/A,,1,100.00%,Won,N/A,N/A,N/A,Yes,3/3/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paul Miller,Male,white,,,Other,"Personally pro-life, but believes ""this is an issue that the states should decide. I will be voting ""No"" on any federal abortion bills.""",Mary,6/18/24,No,Yes,Utah,6/25/24,Representative,1,,29640,28.96%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Blake D. Moore,Male,white,,,Pro-Life,,Mary,6/18/24,Yes,No,Utah,6/25/24,Representative,1,H0UT01205,72702,71.04%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Celeste Maloy,Female,white,,,Pro-Life,,Mary,6/18/24,Yes,No,Utah,6/25/24,Representative,2,H4UT02296,53748,50.10%,Won,N/A,N/A,N/A,Yes,6/17/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,Yes,
Colby C. Jenkins,Male,white,,,Pro-Life,,Mary,6/18/24,No,Yes,Utah,6/25/24,Representative,2,,53534,49.90%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,
JR Bird,Male,white,,,Pro-Life,,Mary,6/18/24,No,No,Utah,6/25/24,Representative,3,,17207,15.30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"John ""Frugal"" Dougall",Male,white,,,No mention,"has issues and about, but no mention ",Mary,6/20/24,No,No,Utah,6/25/24,Representative,3,,10800,9.60%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Kennedy,Male,white,,,Pro-Life,,Mary,6/20/24,No,No,Utah,6/25/24,Representative,3,,43618,38.78%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Case Lawrence,Male,white,,,No mention,"has issues and about, but no mention ",Mary,6/20/24,No,No,Utah,6/25/24,Representative,3,,24884,22.13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stewart Peay,Male,white,,,Other,"""we are proudly pro-life and support the Supreme Court’s decision that allows the states, not the federal government, to legislate this issue""",Mary,6/20/24,No,No,Utah,6/25/24,Representative,3,,15954,14.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Burgess Owens,Male,black,,,Pro-Life,,Mary,6/20/24,Yes,No,Utah,6/25/24,Representative,4,H0UT04076,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
John Curtis,Male,white,,,Pro-Life,,Meredith,6/18/24,No,No,Utah,6/25/24,Senator,N/A,,206094,48.72%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Trent Staggs,Male,white,,,Pro-Life,"In the about: ""protected the right to life of the unborn""",Meredith,6/18/24,No,No,Utah,6/25/24,Senator,N/A,,138143,32.66%,Lost,N/A,N/A,N/A,Yes,4/27/24,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Jason J. Walton,Male,white,,,Pro-Life,,Meredith,6/18/24,No,No,Utah,6/25/24,Senator,N/A,,25604,6.05%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Brad Wilson,Male,white,,,Pro-Life,"mentions protecting unborn in ""about""",Meredith,6/18/24,No,No,Utah,6/25/24,Senator,N/A,,53134,12.56%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Spencer J. Cox,Male,white,,,Pro-Life,"under the topic ""protecting life,"" frames as Utahn's right to life, but doesn't say it's a state issue",Meredith,6/18/24,Yes,No,Utah,6/25/24,Governor,N/A,,232164,54.40%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Phil Lyman,Male,white,,,No mention,"has issues and about, but no mention ",Meredith,6/18/24,No,Yes,Utah,6/25/24,Governor,N/A,,194639,45.60%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert Backie,Male,white,,,No mention,"lists issues, no mention of abortion terms",Mary,7/22/24,No,Yes,Arizona,7/30/24,Representative,1,,9854,9.83%,Lost,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A,N/A,N/A,
Kim George,Female,white,,,Pro-Life,,Mary,7/22/24,No,Yes,Arizona,7/30/24,Representative,1,,27587,27.52%,Lost,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A,N/A,N/A,
David Schweikert,Male,white,,,No mention,"lists issues, no mention of abortion terms",Mary,7/22/24,Yes,No,Arizona,7/30/24,Representative,1,H4AZ06045,62811,62.65%,Won,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Eli Crane,Male,white,,,Pro-Life,,Mary,7/22/24,Yes,No,Arizona,7/30/24,Representative,2,H2AZ01354,89480,80.53%,Won,N/A,N/A,N/A,Yes,4/24/24,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jack Smith,Male,white,,,Pro-Life,,Mary,7/22/24,No,Yes,Arizona,7/30/24,Representative,2,,21637,19.47%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jesus David Mendoza,Male,hispanic (mexican),,,Other,"""I stand in the middle, while I do believe a women’s access to reproductive healthcare is a vital tool for empowering women’s health, autonomy, and financial choice; I also believe an abortion at any stage in a pregnancy should be one of those things nobody wants to do, and those that do so should do so for valid reasons and under proper medical care.""",Mary,7/22/24,No,No,Arizona,7/30/24,Representative,3,,4840,34.28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeff Zink,Male,white,,,No mention,"lists issues, no mention of abortion terms",Mary,7/22/24,No,No,Arizona,7/30/24,Representative,3,,9243,65.46%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kelly Cooper,Male,unknown,,,No mention,"lists issues, no mention of abortion terms",Mary,7/22/24,No,No,Arizona,7/30/24,Representative,4,,18902,32.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jerome Davison,Male,black,,,No mention,no issues or about page,Mary,7/22/24,No,No,Arizona,7/30/24,Representative,4,,10664,18.05%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dave Giles,Male,white,,,Pro-Life,"""I will work to protect all human life, especially the lives of those who cannot protect themselves.""",Mary,7/22/24,No,No,Arizona,7/30/24,Representative,4,,13575,22.98%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zuhdi Jasser,Male,middle eastern (syrian),,,No mention,"lists issues, no mention of abortion terms",Mary,7/22/24,No,No,Arizona,7/30/24,Representative,4,,15929,26.97%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andy Biggs,Male,white,,,Pro-Life,,Mary,7/22/24,Yes,No,Arizona,7/30/24,Representative,5,H6AZ05083,91820,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
